track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_deezer_playlists,streams,in_apple_playlists,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Overall Ranking
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2021,4,9,2619,1,350381515,47,12,90,0,7,130,63,49,73,5,0,9,3,27.25
Titi Me Preguntï¿,Bad Bunny,1,2022,5,6,9037,139,1264310836,124,42,133,14,166,107,65,19,72,10,0,13,25,88.75
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,3,30343206,3,11,33,0,1,146,50,67,89,0,0,19,8,11.25
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,19,405136812,1,14,50,0,19,139,48,37,41,32,0,10,10,20.75
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1968,7,1,15890,653,1145727611,71,14,37,0,167,116,74,76,70,7,0,13,3,54.5
Es un Secreto,Plan B,1,2010,7,20,492,19,540654286,4,36,3,0,0,95,84,52,77,12,0,7,4,9.75
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,21,57312735,20,33,46,8,99,170,62,55,80,15,0,37,7,46.5
Ditto,NewJeans,1,2022,12,19,1154,11,397582059,28,22,125,1,51,134,81,18,64,3,0,10,11,49.75
Take On Me,a-ha,1,1984,10,19,44927,"5,108",1479115056,34,17,0,6,0,84,57,86,90,2,0,9,5,5.75
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,20,86773632,13,4,46,1,10,146,61,20,48,21,0,12,6,15.25
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,15,133753727,22,14,18,1,0,74,53,24,67,11,0,10,28,8.25
Acrï¿½ï¿½s,Shakira,1,2023,5,11,955,79,123124076,37,29,50,11,31,144,75,35,48,84,0,10,12,30.25
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,9,463564958,12,19,117,5,3,136,77,79,73,15,0,27,10,36
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,1,64533040,6,6,71,0,31,100,56,53,55,53,0,12,4,27
S-Class,Stray Kids,1,2023,6,2,290,5,65496046,9,19,101,0,73,105,89,67,78,9,0,7,33,48.25
Hits Different,Taylor Swift,1,2023,5,26,547,6,68616963,15,0,15,0,0,106,67,24,78,15,0,30,4,3.75
Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,21,161460990,15,10,92,2,26,132,85,53,68,40,0,9,4,32.5
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,332,5,70106975,18,5,41,0,19,120,78,5,30,21,0,13,5,16.25
Area Codes,"Kaliii, Kaliii",2,2023,3,17,1197,25,113509496,44,13,34,1,171,155,82,51,39,2,0,9,49,54.75
Abcdario,"Junior H, Eden Muï¿½ï",2,2023,5,13,262,4,89933133,8,5,60,1,109,129,70,42,43,78,0,11,3,43.75
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,2,71007139,10,6,79,0,42,135,80,85,74,62,0,8,9,31.75
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2,2023,6,2,185,4,43522589,5,3,6,1,33,98,73,45,62,28,0,13,13,10.75
FLOWER,JISOO,1,2023,3,31,839,20,232896922,20,18,110,0,69,124,84,64,39,3,0,11,4,49.25
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,259,5,37126685,5,0,17,0,0,135,77,28,55,18,0,22,15,4.25
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,107,195576623,116,30,69,3,675,107,78,39,53,30,0,11,6,194.25
Escapism.,"RAYE, 070 Shake",2,2022,10,12,5129,114,532336353,116,25,84,18,348,96,54,25,74,14,0,9,11,118.75
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,53,538115192,47,34,77,10,8,123,71,58,70,30,0,32,19,32.25
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,588,31,46142772,23,0,21,0,0,90,62,7,62,6,0,58,6,5.25
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,38,401036314,41,16,69,0,36,117,72,45,59,14,0,20,21,30.25
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,4,127026613,8,8,78,1,1,133,78,90,84,31,0,7,4,22
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,34,345031710,29,36,65,5,3,96,74,61,83,11,0,35,6,27.25
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,8,288101651,10,10,72,3,14,149,66,85,60,40,0,14,13,24.75
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,9,60350538,1,2,0,0,0,110,66,32,40,81,0,11,3,0.5
Players,Coi Leray,1,2022,11,30,4096,143,335074782,118,6,48,0,240,105,95,62,52,3,0,5,16,73.5
Bite Me,ENHYPEN,1,2023,5,22,349,5,76767396,8,69,96,0,56,105,80,69,78,28,0,11,14,55.25
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,6,46065667,23,5,82,0,113,134,76,61,58,6,0,16,3,50
Normal,Feid,1,2022,7,8,2461,45,459276435,47,36,66,5,6,170,71,59,56,4,0,27,12,28.25
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,5,39666245,1,1,20,0,1,81,59,26,60,46,1,25,13,5.5
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,51,138517666,7,5,29,1,29,154,63,75,92,31,0,91,5,16
Bad Habit,Steve Lacy,1,2022,6,29,8186,131,822633917,155,12,72,16,29,169,69,69,51,63,0,38,4,32.25
CUFF IT,Beyoncï¿,1,2022,7,29,7842,330,595900742,215,10,88,26,23,115,78,64,69,4,0,7,14,36.75
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,8,51985779,6,6,14,2,4,84,43,14,74,1,0,19,8,6.5
69,"Nicky Jam, Feid",2,2023,5,18,1134,48,57945987,39,22,14,2,3,93,79,58,62,11,0,11,23,10.25
Niï¿½ï¿½a Bo,"Sean Paul, Feid",2,2023,4,21,1305,43,115010040,29,34,26,5,44,91,82,47,62,10,0,10,15,27.25
Search & Rescue,Drake,1,2023,4,7,2066,43,175097833,58,6,70,0,182,142,82,54,44,6,0,33,7,64.5
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,5,19,896,33,57089066,34,0,2,0,1,126,78,20,70,1,0,16,4,0.75
Lavender Haze,Taylor Swift,1,2022,10,21,3763,38,488386797,51,8,43,10,1,97,73,10,44,26,0,16,8,15.5
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,3,32761689,3,0,10,0,0,101,92,59,51,41,51,26,8,2.5
Efecto,Bad Bunny,1,2022,5,6,4004,43,1047480053,34,33,65,6,2,98,80,23,48,14,0,6,5,26.5
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,984,76,153454328,8,5,57,2,49,154,59,63,89,18,0,80,9,28.25
Cupido,Tini,1,2023,2,14,1240,63,217672943,51,24,29,4,54,120,91,63,58,52,0,31,22,27.75
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,47,457184829,72,13,27,0,0,150,49,4,55,7,0,6,3,10
Unstoppable,Sia,1,2016,1,21,7681,"1,145",939844851,119,13,66,2,,174,47,27,78,11,0,10,8,27
Until I Found You,Stephen Sanchez,1,2021,9,1,4427,154,726434358,69,4,100,20,438,202,34,25,51,69,0,18,4,140.5
Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,42,573633020,84,18,84,0,23,153,56,42,52,5,0,36,24,31.25
Easy On Me,Adele,1,2021,10,14,10195,657,1406111294,258,20,87,22,9,142,60,13,37,58,0,13,3,34.5
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,2023,5,11,269,30,71573339,7,4,2,1,11,108,84,55,47,26,0,20,64,4.5
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,6,24975653,3,0,3,0,0,143,83,25,69,4,0,23,12,0.75
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,14,845,47,145458418,12,2,57,1,33,108,67,55,67,60,0,80,5,23.25
The Real Slim Shady,Eminem,1,2000,1,1,20763,"3,271",1424589568,81,27,53,1,17,104,95,78,66,3,0,4,6,24.5
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,56,231332117,41,20,22,4,84,93,84,96,79,43,0,18,11,32.5
The Color Violet,Tory Lanez,1,2021,12,10,2585,21,415932686,3,32,79,1,54,105,65,46,53,16,0,9,5,41.5
Glimpse of Us,Joji,1,2022,6,10,6330,158,988515741,109,6,42,3,31,170,44,27,32,89,0,14,5,20.5
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,11,50847624,9,1,13,0,1,178,62,56,66,18,0,12,5,3.75
Curtains,Ed Sheeran,1,2023,5,5,715,27,39893489,37,0,3,0,50,176,50,44,76,10,0,32,5,13.25
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,9,92035115,14,13,110,0,49,104,80,38,88,11,0,11,5,43
Haegeum,Agust D,1,2023,4,21,244,10,118810253,6,12,84,2,9,85,70,83,84,31,0,47,30,26.75
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2,2023,4,30,385,41,77233241,17,4,7,1,29,117,77,69,58,39,0,26,5,10.25
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,30,206399629,15,35,26,6,0,80,52,57,48,86,0,15,39,16.75
Never Felt So Alone,Labrinth,1,2023,4,7,1730,51,117747907,46,3,5,0,20,98,44,36,41,50,0,38,5,7
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,2127,53,266624541,45,33,80,8,4,178,79,58,78,34,0,11,25,31.25
ceilings,Lizzy McAlpine,1,2022,4,8,3242,48,293186992,67,9,55,0,6,148,51,27,33,48,0,22,3,17.5
Cupid,Fifty Fifty,1,2023,2,24,526,30,139681964,15,10,93,0,320,120,77,94,66,65,0,38,3,105.75
I AM,IVE,1,2023,4,10,366,7,123132751,16,15,102,0,55,122,68,38,88,1,0,8,5,43
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,1,1997,1,1,472,6,103762518,0,2,0,0,0,144,74,75,73,42,0,9,4,0.5
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12,162887075,8,12,14,2,33,96,93,47,47,33,0,10,36,15.25
Super,SEVENTEEN,1,2023,4,24,271,9,91221625,16,12,103,0,55,137,77,35,88,16,0,17,9,42.5
Slut Me Out,NLE Choppa,1,2022,4,22,816,13,190490915,21,4,4,0,4,121,94,71,61,12,0,53,42,3
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,28,96180277,36,0,65,0,0,119,60,10,57,1,0,50,3,16.25
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,19,185240616,26,6,6,0,5,96,72,40,47,71,0,13,4,4.25
PROVENZA,Karol G,1,2022,4,21,6587,147,885093467,114,34,104,11,20,111,87,53,52,66,1,11,5,42.25
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,0,104992946,0,4,0,0,0,148,90,74,68,14,0,10,19,1
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,4,147290338,4,10,64,2,37,182,57,80,59,8,0,6,5,28.25
Shivers,Ed Sheeran,1,2021,9,9,10147,543,1302184087,234,30,71,18,,141,79,82,86,28,0,4,9,39.66666667
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,5,158950978,8,6,84,1,4,145,76,80,81,19,0,6,9,23.75
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,10,76910644,16,9,90,0,64,110,76,26,70,1,0,41,6,40.75
Komang,Raim Laode,1,2022,8,16,158,1,137123880,5,4,6,1,18,134,70,35,41,41,0,10,3,7.25
DESPECHï¿,ROSALï¿½,1,2022,7,28,7613,422,782369383,180,33,90,15,55,130,92,78,62,18,0,6,10,48.25
Made You Look,Meghan Trainor,1,2022,10,21,3956,127,502574952,142,6,23,3,16,145,84,88,53,35,0,8,7,12
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,21,207033255,0,10,0,0,0,130,69,36,90,1,10,15,4,2.5
No Se Va,Grupo Frontera,1,2022,4,28,924,22,404887295,17,18,80,9,38,173,59,69,53,12,0,23,3,36.25
Punto G,Quevedo,1,2022,11,4,1985,37,381161027,34,35,26,5,1,92,75,55,76,25,0,10,15,16.75
Lovers Rock,TV Girl,1,2014,6,5,6339,36,466231982,3,13,1,1,37,105,56,57,87,0,1,10,4,13
METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,24,357580552,18,24,78,0,30,175,59,15,64,43,90,12,10,33
Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,27,61105704,17,4,13,0,43,120,80,33,70,22,0,9,4,15
En Paris,"El Chachito, Junior H",2,2022,12,24,406,2,198275403,3,5,31,1,0,139,70,77,48,37,0,12,5,9.25
Set Me Free Pt.2,Jimin,1,2023,3,17,340,16,168448603,4,13,71,1,9,132,59,56,82,12,0,12,6,23.5
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,4188,142,705469769,30,15,70,0,27,114,32,17,74,14,0,17,3,28
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,5,34502215,5,0,9,0,0,145,54,19,48,36,0,37,5,2.25
Shut Down,BLACKPINK,1,2022,9,16,1524,62,482175240,53,17,120,0,2,110,82,67,69,0,0,18,4,34.75
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,32,304118600,21,30,55,3,0,94,89,61,66,17,0,36,16,22
Call Out My Name,The Weeknd,1,2018,3,29,11087,801,1449799467,151,6,107,1,105,134,45,17,60,21,0,33,4,54.75
Like Crazy (English Version),Jimin,1,2023,3,24,373,5,173627354,4,19,72,0,5,120,62,32,76,0,0,39,4,24
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,2,200,2,90025258,8,4,77,1,1,123,70,86,68,24,0,11,4,20.75
Sunroof,"Nicky Youre, Dazy",2,2021,12,3,3741,110,652704649,156,17,35,19,0,131,77,84,71,35,0,15,4,17.75
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,32502,"5,567",1829992958,247,21,54,1,51,171,70,6,73,1,0,36,26,31.75
Superman,"Eminem, Dina Rae",2,2002,5,26,7615,"1,005",655466831,18,14,51,0,0,130,80,64,76,2,0,20,6,16.25
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,20,146409671,10,34,41,0,1,94,82,53,67,34,0,9,8,19
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,11,95816024,4,4,45,2,24,89,73,44,57,39,0,32,6,18.75
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,15,117206995,20,9,8,0,6,87,65,71,56,4,0,15,20,5.75
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,654,18,100409613,11,3,3,1,1,124,72,79,78,55,0,15,30,2
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,18,80758350,23,0,0,0,33,78,71,80,65,51,0,22,32,8.25
10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,1,4942,147,325592432,190,26,104,18,63,120,70,70,79,7,0,18,10,52.75
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,13,58473276,8,0,1,0,0,96,48,50,80,40,0,37,20,0.25
HAPPY,NF,1,2023,3,25,660,11,52722996,22,0,7,0,78,106,73,22,86,31,0,12,4,21.25
La Bebe,Yng Lvcas,1,2021,12,24,489,5,191945597,4,17,11,1,2,170,78,75,46,62,0,12,35,7.75
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,5,77377503,16,0,15,0,1,134,67,11,76,8,47,30,7,4
Late Night Talking,Harry Styles,1,2022,5,20,7461,199,743693613,166,8,42,16,58,115,71,90,73,30,0,11,5,31
Leï¿½,Marï¿½ï¿½lia Mendo,1,2022,12,9,993,88,267789608,30,4,84,1,28,130,74,79,87,45,0,30,3,29.25
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,3,20,9161,468,1221813483,240,5,98,3,10,118,65,63,79,3,0,10,3,29
Something in the Orange,Zach Bryan,1,2022,4,22,3282,46,449701773,67,12,84,16,117,110,59,22,38,42,0,12,3,57.25
VOID,Melanie Martinez,1,2023,3,29,596,12,67070410,29,0,9,0,52,100,72,42,66,18,4,19,4,15.25
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,320,2,116334601,5,6,48,1,9,142,70,76,79,26,0,11,7,16
Midnight Rain,Taylor Swift,1,2022,10,21,2612,21,433356509,19,4,29,0,0,140,64,18,37,72,0,12,7,8.25
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,66,165584767,81,4,27,9,444,116,90,96,73,62,0,9,4,121
You Proof,Morgan Wallen,1,2022,5,13,2128,9,367814306,37,9,88,0,14,120,73,64,85,25,0,61,3,27.75
LA INOCENTE,"Feid, Mora",2,2022,4,1,2598,43,477033549,28,37,57,8,85,92,76,46,79,31,0,7,6,46.75
Malas Decisiones,Kenia OS,1,2022,10,26,542,21,156214700,23,2,2,0,0,110,81,64,79,5,0,31,3,1
Murder In My Mind,Kordhell,1,2022,1,21,2459,50,448843705,20,20,68,0,22,120,71,57,97,1,0,13,11,27.5
Gangsta's Paradise,"Coolio, L.V.",2,1995,7,11,10624,386,1357608774,21,17,0,0,,80,63,40,61,9,0,56,6,5.666666667
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,2418,55,294352144,52,26,66,1,16,115,95,43,69,47,0,9,31,27.25
I Love You So,The Walters,1,2014,11,28,7536,135,972164968,44,7,19,0,6,76,58,46,67,65,0,13,4,8
Dark Red,Steve Lacy,1,2017,2,20,10431,181,920045682,71,7,53,0,10,172,60,77,78,45,0,12,6,17.5
Say You Won't Let Go,James Arthur,1,2016,9,9,15722,"1,509",2420461338,231,16,37,0,13,99,40,45,56,69,0,9,5,16.5
The Hills,The Weeknd,1,2015,5,27,25744,"1,992",1947371785,122,4,94,0,18,136,36,12,57,9,0,14,8,29
Heart To Heart,Mac DeMarco,1,2019,5,10,1640,29,244658767,27,0,27,1,1,150,90,64,14,67,35,11,10,7.25
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,0,68216992,0,0,0,0,0,92,71,41,31,79,0,10,5,0
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15,1845,30,223582566,20,16,8,2,0,95,77,72,87,17,0,7,5,6.5
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25,3301,64,471819764,72,30,64,6,3,102,83,58,83,21,0,10,5,25.75
Low,SZA,1,2022,12,9,1911,14,272377463,23,0,71,0,9,145,70,34,55,43,0,16,6,20
Numb,Linkin Park,1,2003,3,24,20111,"7,341",1361425037,39,5,0,0,0,110,50,24,86,0,0,64,4,1.25
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,24,1529,39,149778242,32,0,18,2,0,95,64,30,77,46,0,38,6,5
on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3,615,8,116599790,22,2,82,0,9,94,68,81,82,53,0,9,13,23.25
One Thing At A Time,Morgan Wallen,1,2022,12,2,811,5,148469433,11,4,58,0,21,142,61,92,91,0,0,26,3,20.75
Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5,5730,197,497225336,108,10,16,3,165,145,59,20,74,1,0,15,5,48.5
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,1,2023,3,3,356,0,88791109,4,4,20,0,0,121,64,67,80,0,0,36,3,6
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,1,2023,3,3,604,0,125917280,22,6,101,0,66,140,66,43,76,49,0,12,3,43.25
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,23,1190,18,105062254,29,0,3,0,19,137,84,44,67,8,0,11,6,5.5
Everything I Love,Morgan Wallen,1,2023,1,31,579,0,95623148,11,0,54,0,103,104,56,72,85,0,0,15,3,39.25
Heaven,Niall Horan,1,2023,2,17,1553,48,144584800,61,2,6,0,150,92,57,68,76,7,0,33,3,39.5
LET GO,Central Cee,1,2022,12,15,2301,110,298063749,49,20,23,0,8,146,74,51,45,86,0,21,38,12.75
Sial,Mahalini,1,2023,1,23,134,0,166570053,4,4,6,0,23,120,56,20,43,89,0,12,4,8.25
I Wrote The Book,Morgan Wallen,1,2023,1,31,430,0,83021468,15,0,17,0,0,144,68,83,81,9,0,8,4,4.25
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,5,86,0,139836056,11,0,101,0,48,94,59,44,56,80,0,6,3,37.25
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,629,9,303216294,32,14,3,0,0,94,73,65,79,5,2,11,6,4.25
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",2,2022,12,15,1701,34,221409663,30,15,15,2,47,113,79,66,74,8,0,11,5,19.75
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,3,3,329,1,58890931,14,0,35,0,0,148,50,49,76,12,0,12,3,8.75
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,1168,20,81419389,45,0,11,0,21,98,70,29,73,12,0,11,26,8
Kahani Suno 2.0,Kaifi Khalil,1,2022,5,31,162,1,156777415,1,6,10,0,1,140,58,26,38,91,0,10,4,4.25
Nobody Gets Me,SZA,1,2022,12,9,2536,58,284908316,59,6,100,13,2,100,36,28,28,81,0,18,3,30.25
PERO Tï¿,"Karol G, Quevedo",2,2023,2,23,387,14,93438910,11,11,15,3,1,140,86,68,79,39,0,11,29,7.5
Hype Boy,NewJeans,1,2022,8,1,892,12,363472647,20,17,119,2,7,100,59,78,94,27,0,29,23,36.25
Bloody Mary,Lady Gaga,1,2011,1,1,3909,277,372476382,66,0,26,3,734,100,59,49,65,2,0,13,3,190.75
Monotonï¿½,"Ozuna, Shakira",2,2022,10,19,3645,150,380726517,118,15,34,4,19,132,87,82,70,42,0,21,5,18
ýýý98 Braves,Morgan Wallen,1,2023,3,3,282,0,56533272,6,0,15,0,0,142,49,48,67,10,0,26,3,3.75
WANDA,Quevedo,1,2023,1,20,888,7,175399345,11,22,24,1,7,176,72,96,63,25,0,21,7,13.5
Thought You Should Know,Morgan Wallen,1,2022,5,6,968,1,203221468,16,4,53,0,61,140,53,51,70,49,0,14,3,29.5
In The End,Linkin Park,1,2000,10,24,25065,"6,808",1624165576,63,6,0,2,0,105,55,40,90,1,0,32,6,2
Zona De Perigo,Leo Santana,1,2022,12,8,531,71,134294498,20,4,1,2,0,135,81,97,77,75,0,35,3,1.75
Lovezinho,Treyce,1,2022,7,28,242,13,70069745,12,0,2,0,4,128,82,61,59,30,0,12,4,1.5
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2,2022,6,3,5281,80,609293408,94,14,21,15,38,101,74,43,69,12,0,12,7,22
Neverita,Bad Bunny,1,2022,5,6,2590,35,671365962,20,30,64,6,0,122,88,43,50,7,0,14,5,25
Vista Al Mar,Quevedo,1,2022,9,8,1769,21,362361576,16,34,19,3,4,105,76,49,56,80,12,10,13,15
Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",2,2022,12,23,454,21,93587665,6,4,1,0,1,83,53,40,36,73,0,11,33,1.5
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",4,2021,9,3,6180,580,1223481149,122,7,88,21,10,77,72,59,76,24,0,42,28,31.5
Revenge,XXXTENTACION,1,2017,8,25,3600,203,1022258230,7,11,0,0,2,140,75,18,25,78,0,11,26,3.25
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2,2022,11,3,1254,73,263453310,26,6,69,2,6,158,65,72,95,31,0,92,5,20.75
LA CANCIï¿½,"J Balvin, Bad Bunny",2,2019,6,28,6398,305,1435127549,177,31,109,3,5,176,75,43,65,15,0,11,32,37
Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",2,2022,10,20,660,18,236857112,19,15,59,5,52,98,73,88,57,56,0,5,2,32.75
Love Again,The Kid Laroi,1,2023,1,27,1283,48,147538971,57,0,4,0,0,107,66,47,40,72,0,11,3,1
After Hours,The Weeknd,1,2020,2,19,8084,218,698086140,45,6,115,1,221,109,66,16,57,10,1,12,3,85.75
About Damn Time,Lizzo,1,2022,7,15,2332,25,723894473,0,2,0,0,0,109,84,72,74,10,0,34,7,0.5
Born With A Beer In My Hand,Morgan Wallen,1,2023,3,3,203,0,34450974,5,0,9,0,0,148,53,61,81,5,0,36,4,2.25
ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,1,2020,5,20,685,9,403097450,24,14,94,0,23,158,60,52,76,17,0,19,5,32.75
Besos Moja2,"Wisin & Yandel, ROSALï¿½",2,2022,9,29,2460,56,309483971,53,13,7,3,1,94,74,64,73,6,0,10,6,6
Maan Meri Jaan,King,1,2022,10,12,288,1,319566866,11,6,80,0,8,96,70,40,51,35,0,10,4,23.5
Moscow Mule,Bad Bunny,1,2022,5,6,4572,85,909001996,74,33,113,9,2,100,80,29,67,29,0,12,3,39.25
My Universe,"Coldplay, BTS",2,2021,9,24,6127,0,1061966512,0,13,0,0,0,105,58,42,68,1,0,14,4,3.25
Devil Donï¿½ï¿½ï¿½,Morgan Wallen,1,2023,3,3,166,0,32526947,2,0,10,0,0,125,53,32,66,38,0,9,3,2.5
LLYLM,ROSALï¿½,1,2023,1,27,1838,114,124988687,105,0,41,1,59,170,56,56,63,13,0,19,27,25.25
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",3,2023,1,27,1890,49,103787664,86,0,1,0,9,115,70,84,90,17,0,41,6,2.5
TRUSTFALL,P!nk,1,2023,1,27,2098,101,134255790,88,16,24,7,451,122,64,25,89,0,0,15,9,124.5
ANTIFRAGILE,LE SSERAFIM,1,2022,10,17,761,11,301051721,23,12,95,0,3,105,88,82,80,8,0,11,8,27.5
Boy's a liar,PinkPantheress,1,2022,11,30,1225,28,156338624,27,0,0,13,0,133,66,74,84,25,0,21,4,3.25
