track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_deezer_playlists,streams,in_apple_playlists,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Overall Ranking
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,247,1047101291,77,64,58,1,311,79,56,58,56,37,0,11,10,108.5
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,65,65156199,82,80,145,16,"1,133",144,77,75,58,52,0,23,25,343.5
Angels Like You,Miley Cyrus,1,2020,11,27,3372,138,570515054,65,19,48,1,102,122,67,49,64,10,0,10,3,42.5
I Ain't Worried,OneRepublic,1,2022,5,13,8431,458,1085685420,241,76,127,37,332,140,71,82,81,11,0,6,5,143
Die For You,The Weeknd,1,2016,11,24,2483,24,1647990401,68,59,21,0,259,134,59,51,52,9,0,15,7,84.75
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,"2,445",2565529693,281,79,137,1,140,186,68,49,59,16,0,13,28,89.25
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,74,518745108,87,47,86,1,16,67,53,50,53,23,0,44,7,37.5
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,57,107753850,44,38,64,10,110,106,72,17,64,7,0,10,5,55.5
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,213,177740666,145,66,111,11,810,128,60,23,91,0,0,12,3,249.5
AMARGURA,Karol G,1,2023,2,24,1133,23,153372011,14,39,71,10,176,107,92,55,70,18,0,15,7,74
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,109,57876440,0,59,0,17,0,130,67,96,88,12,19,8,4,19
Another Love,Tom Odell,1,2012,10,15,18371,"3,394",1813673666,250,83,122,19,,123,45,13,54,70,0,9,4,74.66666667
Blinding Lights,The Weeknd,1,2019,11,29,43899,"3,421",3703895074,672,69,199,20,,171,50,38,80,0,0,9,7,96
Moonlight,Kali Uchis,1,2023,2,24,2649,57,256483385,67,42,79,1,615,137,64,88,72,51,0,17,5,184.25
La Bachata,Manuel Turizo,1,2022,5,26,6804,161,1214083358,139,45,111,15,210,125,84,85,68,58,0,22,4,95.25
S91,Karol G,1,2023,7,14,525,39,16011326,34,41,115,6,216,128,86,42,72,59,0,9,19,94.5
cardigan,Taylor Swift,1,2020,7,24,7923,142,812019557,106,29,112,4,215,130,61,53,58,55,0,27,4,90
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,5,4,731,73,111947664,27,15,17,4,167,130,86,59,96,50,1,9,5,50.75
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,102,156338624,154,41,84,14,37,133,70,86,81,25,0,25,5,44
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,4,720434240,38,39,0,0,0,101,88,72,59,62,0,9,3,9.75
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,182,357925728,82,50,121,12,171,95,77,53,64,74,0,17,14,88.5
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,89,674072710,63,38,79,11,16,98,90,40,59,0,0,10,29,36
Yellow,Chris Molitor,1,1999,1,1,31358,"4,053",1755214421,196,43,2,5,0,173,43,28,66,0,0,23,3,12.5
Karma,Taylor Swift,1,2022,10,21,3818,32,404562836,37,23,55,0,272,90,64,10,62,7,0,48,7,87.5
People,Libianca,1,2022,12,2,3506,169,373199958,105,56,64,8,529,198,59,71,42,55,0,10,7,164.25
Overdrive,Post Malone,1,2023,7,14,410,31,14780425,36,36,32,1,26,140,56,48,73,0,0,35,4,23.75
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,8,39578178,32,24,93,2,5,82,51,22,53,1,0,15,3,31
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,58,54266102,42,35,80,3,169,130,77,84,89,17,0,43,5,71.75
Heat Waves,Glass Animals,1,2020,6,28,22543,707,2557975762,386,63,144,28,,81,76,53,53,44,0,9,9,78.33333333
golden hour,JVKE,1,2022,7,15,4511,109,751134527,70,36,58,18,230,94,51,14,59,65,18,25,3,85.5
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,"1,056",2282771485,166,61,87,1,,124,61,41,81,5,2,10,3,49.66666667
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,164,1356565093,94,45,65,14,176,128,62,55,78,1,3,23,4,75
Viva La Vida,Coldplay,1,2008,1,1,33898,"4,095",1592909789,233,62,0,9,0,138,49,42,62,9,0,11,3,17.75
Here With Me,d4vd,1,2022,7,17,3246,68,635412045,94,23,85,1,84,132,58,27,48,50,0,12,3,48.25
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,331,1230675890,216,42,108,26,154,131,71,24,47,1,0,27,9,82.5
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,80,585695368,47,38,74,14,194,168,78,58,73,5,0,10,7,80
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,18,43857627,12,20,16,4,93,98,68,40,79,33,0,30,6,33.25
Riptide,Vance Joy,1,1975,1,1,31123,"1,003",2009094673,300,55,65,1,0,102,48,50,73,43,0,15,4,30.25
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,71,600976848,60,30,96,0,115,101,34,32,57,78,0,20,3,60.25
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,23,267,25,39709092,9,9,6,2,72,130,63,36,34,76,0,35,9,22.25
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,5,39228929,16,17,72,0,8,142,50,20,64,1,0,12,3,24.25
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,798,2665343922,492,36,99,31,0,170,59,48,76,4,0,10,5,41.5
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,110,223633238,80,44,75,11,323,124,78,70,68,3,1,11,4,113.25
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,"1,800",2887241814,440,53,125,0,,110,50,45,41,75,0,11,3,59.33333333
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,141,1440757818,104,43,120,26,49,92,91,43,71,9,0,9,8,59.5
Makeba,Jain,1,2015,6,22,6060,"2,703",165484133,150,53,148,22,"1,451",116,82,40,66,39,51,25,7,418.5
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,8,58054811,1,50,52,0,"1,170",129,63,84,82,70,8,9,7,318
Fast Car,Luke Combs,1,2023,3,24,1446,35,157058870,57,12,97,0,429,98,71,67,60,19,0,12,3,134.5
What It Is (Solo Version),Doechii,1,2023,3,17,804,24,95131998,29,25,76,0,162,172,74,76,76,6,0,10,9,65.75
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,29,250305248,28,38,89,5,82,150,68,14,76,4,0,10,4,53.5
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8,4875,0,685032533,19,23,45,0,10,136,62,19,53,11,0,6,4,19.5
Still With You,Jung Kook,1,2020,6,5,31,8,38411956,2,39,107,0,0,88,53,34,47,9,0,83,4,36.5
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,69,144565150,69,23,145,2,478,143,83,69,44,15,0,10,33,162
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,63,127567540,49,46,105,1,0,100,49,17,35,71,9,11,3,38
Snooze,SZA,1,2022,12,9,2839,42,399686758,58,25,156,1,236,143,56,39,55,14,0,11,13,104.5
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,"1,632",983637508,89,52,143,3,200,112,56,24,66,7,0,12,3,99.5
Take Two,BTS,1,2023,6,9,674,25,118482347,20,47,106,4,78,93,62,57,59,3,0,38,3,58.75
Lover,Taylor Swift,1,2012,1,1,8448,163,882831184,160,23,110,0,5,206,43,50,55,50,0,15,10,34.5
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,19,286400165,17,58,119,2,266,88,68,17,71,15,0,11,5,111.25
Chemical,Post Malone,1,2023,4,14,2528,59,172825906,56,39,91,3,486,170,50,37,90,0,0,12,5,154.75
Mockingbird,Eminem,1,2004,1,1,12985,"2,394",1241559043,49,61,98,5,204,84,62,24,67,21,0,13,28,92
New Jeans,NewJeans,1,2023,7,7,77,4,29562220,8,35,166,4,34,134,81,53,72,51,0,12,5,59.75
Primera Cita,Carin Leon,1,2022,4,20,266,6,77309611,6,27,40,6,202,158,54,50,40,61,0,10,6,68.75
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,"1,034",1605224506,384,52,135,37,312,116,80,92,80,4,0,10,3,134
Dandelions,Ruth B.,1,2017,4,28,3423,59,1116995633,41,21,100,1,32,117,61,45,69,2,0,9,3,38.5
Bones,Imagine Dragons,1,2021,3,11,4198,327,838079900,98,44,108,17,153,114,77,65,72,2,0,7,5,80.5
Set Fire to the Rain,Adele,1,2011,1,1,14739,"2,163",1163620694,88,43,112,5,519,108,61,47,68,0,0,13,3,169.75
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,695,1093605526,69,32,113,0,458,144,74,37,53,7,0,21,10,150.75
Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,0,179659294,7,6,6,0,48,130,51,18,44,76,0,11,3,15
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,22,58,4,39058561,2,18,106,2,184,116,77,79,62,33,1,15,3,77.5
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,6,36912123,21,15,52,1,0,121,65,49,78,0,0,17,4,17
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,"2,655",1205951614,101,25,32,0,666,112,64,54,81,36,0,11,6,180.75
No Role Modelz,J. Cole,1,2014,12,9,21164,476,1791000570,80,36,65,0,14,100,70,47,52,30,0,6,33,28.75
Tattoo,Loreen,1,2023,2,25,2988,145,201660859,74,59,102,18,925,150,55,30,78,24,0,12,8,276
Rara Vez,"Taiu, Milo j",2,2023,2,8,893,24,248088961,19,38,23,3,88,120,84,96,71,18,0,34,17,38
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,12,1094,47,90839753,40,34,58,8,203,127,82,89,85,4,0,23,6,75.75
august,Taylor Swift,1,2020,7,24,7324,61,607123776,25,22,81,1,44,90,51,42,61,53,0,9,3,37
LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,8,55842345,19,11,117,1,74,128,75,79,63,33,0,15,4,50.75
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,246,211050784,161,48,115,9,638,143,64,31,87,4,4,8,4,202.5
Nonsense,Sabrina Carpenter,1,2022,7,15,2346,38,342897938,69,27,12,8,64,139,74,68,68,3,0,26,4,27.75
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,21,2762,21,26,110,9,71,162,49,78,64,19,0,11,4,54
Por las Noches,Peso Pluma,1,2021,6,11,457,4,330346424,8,24,116,3,2,92,81,39,60,31,0,7,3,36.25
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19,3430,52,601863821,45,38,69,4,3,95,87,57,55,10,0,29,7,28.5
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,"6,551",1953533826,201,52,44,2,0,146,63,88,93,3,0,10,8,24.5
Watermelon Sugar,Harry Styles,1,2019,11,17,21915,"1,212",2322580122,437,34,115,12,,95,55,56,82,12,0,34,5,53.66666667
